,global_unique_identifier,last_edited_date,taxonomic_order,category,common_name,scientific_name,subspecies_common_name,subspecies_scientific_name,observation_count,breeding_bird_atlas_code,breeding_bird_atlas_category,age_sex,country,country_code,state,state_code,county,county_code,iba_code,bcr_code,usfws_code,atlas_block,locality,locality_id,locality_type,latitude,longitude,observation_date,time_observations_started,observer_id,sampling_event_identifier,protocol_type,protocol_code,project_code,duration_minutes,effort_distance_km,effort_area_ha,number_observers,all_species_reported,group_identifier,has_media,approved,reviewed,reason,trip_comments,species_comments,v47,pelagic,legit,duplicate
483,URN:CornellLabOfOrnithology:EBIRD:OBS505204980,03:35.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,2,,,,United States,US,California,US-CA,San Mateo,US-CA-081,,NA,,,Offshore CA,L5893393,P,37.0716667,-123.125,2017-05-11,10:00:00,obsr193047,S37186868,Traveling,P22,EBIRD,60,34.44,NA,1,1,,0,1,0,,,Continuing birds flying with and landing on the ship,NA,TRUE,1,1
476,URN:CornellLabOfOrnithology:EBIRD:OBS505209338,10:59.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,2,,,,United States,US,California,US-CA,San Francisco,US-CA-075,,NA,,,Offshore CA,L5893471,P,37.335,-123.33,2017-05-11,11:00:00,obsr193047,S37187104,Traveling,P22,EBIRD,30,17.703,NA,1,1,,0,1,0,,,Continuing birds flying with ship,NA,TRUE,1,1
533,URN:CornellLabOfOrnithology:EBIRD:OBS510101830,55:31.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Orange,US-CA-059,US-CA_4685,NA,,,Lausen Sea Mount,L5803436,H,33.3974106,-118.0006099,2017-06-10,9:30:00,obsr158843,S37519618,Traveling,P22,EBIRD,90,12.875,NA,46,1,G2485531,0,1,0,,"San Bernardino Valley Audubon pelagic trip out of Dana Point aboard the Ocean Institute's R/V Sea Explorer, with Mike Bursk as Captain and Tom Benson, Jon Feenstra, Matt Grube, Robert McNab, and Brad Singer as leaders. From Dana Point Harbor, we traveled west to Lausen Sea Mount, north-northwest to Platforms Eureka, Ellen, and Edith, east and south to San Gabriel Canyon, east toward Laguna Beach, and finally southeast along the 100-fathom curve back to Dana Point Harbor, with minor variations in course for birds and ocean conditions. Weather was mostly cloudy but becoming partly cloudy midday, with light to moderate winds, and temperatures in the 60s (F). This checklist covers the area from Lausen Sea Mount to the halfway point to Platform Eureka, and includes several one mile transects along a chum and oil slick that we laid out over the sea mount.----<a href=""https://www.flickr.com/photos/40928097@N07/34484869073/in/dateposted-public/"" title=""Pelagic trip track - 10 Jun 2017""><img src=""https://c1.staticflickr.com/5/4278/34484869073_e106e2f848_z.jpg"" alt=""Pelagic trip track - 10 Jun 2017"" /></a>",Continuing bird that landed on the boat; it departed when we were about halfway from the sea mount to the oil platforms.,NA,TRUE,1,1
869,URN:CornellLabOfOrnithology:EBIRD:OBS606114214,32:19.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,Oregon,US-OR,Lane,US-OR-039,,NA,,,"North Pacific Ocean (44.0369,-125.2201)",L7290111,P,44.036917,-125.220114,2018-04-26,6:34:00,obsr19105,S44987406,Traveling,P22,EBIRD,17,11.843,NA,8,1,G3134619,0,1,0,,,,NA,TRUE,1,1
870,URN:CornellLabOfOrnithology:EBIRD:OBS606112574,27:40.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,Oregon,US-OR,Lincoln,US-OR-041,,NA,,,"North Pacific Ocean (44.3365,-125.2271)",L7290102,P,44.336514,-125.227095,2018-04-26,7:22:00,obsr19105,S44987314,eBird Pelagic Protocol,P60,EBIRD,16,10.715,NA,15,1,G3134633,0,1,0,,,,NA,TRUE,1,1
872,URN:CornellLabOfOrnithology:EBIRD:OBS606112251,54:38.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,2,,,,United States,US,Oregon,US-OR,Lincoln,US-OR-041,,NA,,,"North Pacific Ocean (44.4408,-125.2294)",L7290099,P,44.440753,-125.229407,2018-04-26,7:39:00,obsr19105,S44987292,Traveling,P22,EBIRD,16,11.44,NA,15,1,G3134636,0,1,0,,,,NA,TRUE,1,1
871,URN:CornellLabOfOrnithology:EBIRD:OBS626109071,06:19.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,Oregon,US-OR,Lincoln,US-OR-041,,NA,,,"North Pacific Ocean (44.5464,-125.2313)",L7290093,P,44.546384,-125.231332,2018-04-26,7:57:00,obsr335210,S45026234,eBird Pelagic Protocol,P60,EBIRD,14,9.888,NA,15,1,G3134643,1,1,0,,,,NA,TRUE,1,1
875,URN:CornellLabOfOrnithology:EBIRD:OBS606101177,54:46.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,4,,,,United States,US,Washington,US-WA,Grays Harbor,US-WA-027,,NA,,,"North Pacific Ocean (47.1309,-125.2892)",L7289951,P,47.130934,-125.289178,2018-04-26,15:42:00,obsr19105,S44986533,eBird Pelagic Protocol,P60,EBIRD,22,13.386,NA,13,1,G3134683,0,1,0,,,,NA,TRUE,1,1
867,URN:CornellLabOfOrnithology:EBIRD:OBS613853975,35:53.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,5,,,,United States,US,Oregon,US-OR,Coos,US-OR-011,,NA,,,Cruise Ship 05032018 #7,L7371431,P,43.69835,-125.8255833,2018-05-03,15:15:00,obsr230086,S45447395,eBird Pelagic Protocol,P60,EBIRD,105,56.327,NA,2,1,G3176081,0,1,0,,"Birding with David Sonneborn aboard Nieuw Amsterdam.  Conditions: seas calm, light breeze (Beaufort 2), visibility unlimited.  Observations from deck 3 forward.",Later 8 found roosting on upper deck.,NA,TRUE,1,1
5,URN:CornellLabOfOrnithology:EBIRD:OBS622030424,14:50.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,Canada,CA,British Columbia,CA-BC,Central Coast,CA-BC-CC,,NA,,,Queen Charlotte Sound,L2357800,H,51.6111946,-129.4793701,2018-05-08,,obsr636717,S45921032,Incidental,P20,EBIRD,NA,NA,NA,NA,0,,0,1,0,,,"seen from a cruiseship, probably ship assisted",NA,TRUE,1,1
529,URN:CornellLabOfOrnithology:EBIRD:OBS53757512,28:21.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Los Angeles,US-CA-037,,NA,,,Cortes Bank (LA Co.),L526621,H,32.4170663,-119.1082764,2008-05-11,6:00:00,obsr29050,S3857913,Traveling,P22,EBIRD,840,48.279,NA,36,1,G195518,0,1,0,,SoCalBirding pelagic trip - San Diego to Cortez/Tanner Banks. Some of these birds were (also) recorded in Ventura County.,,NA,TRUE,1,
863,URN:CornellLabOfOrnithology:EBIRD:OBS91194291,40:12.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Santa Barbara,US-CA-083,US-CA_4690,NA,,,Offshore--southwest of Pt. Conception (SBA Co.),L668885,H,34.2004448,-120.6188965,2010-05-01,9:35:00,obsr29050,S6363119,Traveling,P22,EBIRD,165,24.14,NA,60,1,G165717,0,1,0,,LAAS pelagic aboard Condor Express. Transit from Pt Conception west. Rough and windy.,,NA,TRUE,1,
526,URN:CornellLabOfOrnithology:EBIRD:OBS116347216,06:51.0,1950,species,Eurasian Collared-Dove,Streptopelia decaocto,,,1,,,,United States,US,California,US-CA,Del Norte,US-CA-015,,NA,,,2011-04-22-offshoresurvey-leg6,L1148044,P,41.55639,-125.039625,2011-04-22,8:00:00,obsr18326,S8122119,Traveling,P22,EBIRD,20,12.07,NA,4,1,G253450,1,1,0,,"second full day offshore, quite slow overall especially compared to the first day, though early on there were plenty of Leach's, no pterodromas, I had two groups of Parakeet Auklets that no one else was able to get on, 2 EUCD landed on the ship, 2 Fin Whales. repositioning cruise bulk upload of 20-min surveys, location plotted is midpoint of transect",waypoint 227,NA,TRUE,1,
